"","x"
"L1.rank",0.780333257524764
"lpamzn",0.0842893806258453
"lreview",0.0888152917765239
"lR",-0.129844976808339
"dnytpost1_3",-0.258965014412906
"dnytpost6_3",-0.0817141057937115
"dnytpost10_3",-0.0293878873183622
"dnytpostpre_3",-0.0726380294002329
"dothpostpre_3",-0.141498030783224
"dnytpostprer_3",-0.0592166694373228
"dothpost_3",-0.0494888595149897
"dothpost10_3",0.0121231619188724
"dnytpost1r_3",-0.311263003252815
"dnytpost6r_3",-0.20222429283351
"dnytpost10r_3",-0.0870190736372257
"epos",0.000623519045917549
"epos2",-8.22750177942938e-08
"epos3",2.45193054842245e-12
"eneg",-0.0122798539909774
"eneg2",-5.28202371950177e-05
"eneg3",-4.65053930069319e-08
